country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kenya,52k,70k,89k,110k,130k,150k,170k,180k,200k,210k,220k,230k,240k,240k,250k,240k,240k,230k,220k,200k,190k,180k,160k,150k,140k,130k,120k,110k,100k,90k,82k,74k,68k
Kyrgyz Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,500,500,500,500,500,530,560,610,600,580,560,510,500,500
Cambodia,100,100,200,500,810,1300,2000,2600,3000,3600,4100,4600,5000,5300,5600,5900,6000,6100,6100,6000,5900,5700,5400,5100,4700,4400,4000,3600,3300,2900,2600,2300,2000
Lao,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,510,540,560,580,590,600,610,610,600
Liberia,890,1200,1600,1900,2100,2500,2800,3500,4100,4500,4900,5200,5400,5500,5700,6000,6200,6300,6300,6200,6000,5900,5700,5500,5300,5000,4600,4300,4000,3700,3500,3200,3000
Libya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200
Lesotho,770,1300,2100,3100,4500,6100,7800,9600,11k,13k,15k,17k,18k,20k,21k,22k,23k,22k,22k,22k,21k,20k,18k,17k,16k,15k,13k,12k,11k,10k,9000,8000,7100
Morocco,200,500,500,500,500,500,500,500,500,510,550,590,630,660,700,730,760,790,820,850,870,890,900,910,920,930,930,930,920,900,880,860,840
Moldova,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,200
Madagascar,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,570,700,860,1000,1200,1400,1700,1900,2200,2500,2900,3200,3500,3900,4300,4600,5000
Mexico,1000,1100,1200,1300,1500,1600,1700,1800,1900,2000,2100,2100,2200,2300,2400,2400,2500,2600,2700,2800,2900,3000,3000,3100,3100,3200,3200,3300,3300,3400,3400,3400,3400
Mali,3900,4800,5800,6900,7900,8900,9800,11k,12k,12k,13k,14k,14k,15k,15k,16k,16k,16k,16k,15k,15k,15k,14k,14k,14k,14k,13k,13k,13k,13k,13k,12k,12k
Myanmar,100,200,500,500,700,950,1200,1600,2000,2400,2900,3500,4100,4600,5200,5600,6100,6500,6800,7000,7200,7400,7600,7900,8000,8200,8400,8500,8500,8500,8500,8900,8900
Mozambique,9000,12k,16k,20k,27k,34k,42k,50k,60k,71k,82k,94k,110k,120k,130k,140k,150k,150k,160k,170k,180k,180k,180k,180k,170k,170k,170k,170k,170k,160k,160k,160k,150k
Mauritania,100,200,200,500,500,500,500,500,500,550,620,680,740,790,840,880,910,930,940,940,940,930,920,890,830,790,770,760,730,700,690,680,670
Malawi,33k,42k,53k,61k,69k,78k,87k,96k,100k,110k,120k,120k,130k,130k,140k,140k,140k,140k,130k,130k,130k,120k,120k,110k,110k,100k,96k,89k,82k,75k,69k,62k,57k
Malaysia,100,100,100,100,200,200,500,500,500,500,500,500,500,500,500,500,530,550,550,560,550,550,540,530,520,500,500,500,500,500,500,500,500
Namibia,1200,1800,2500,3400,4500,5800,7100,8400,9900,11k,13k,14k,15k,16k,17k,17k,17k,17k,17k,17k,16k,16k,16k,15k,15k,14k,13k,12k,11k,9600,8800,8000,7200
Niger,760,1100,1500,2000,2600,3200,3900,4600,5300,5900,6500,7000,7400,7700,7900,8100,8100,8000,7900,7600,7000,6500,6100,5700,5200,4900,4500,4300,4100,4100,4000,3900,3800
Nicaragua,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200
Nepal,100,100,100,100,100,100,100,100,200,500,500,500,610,750,880,1000,1100,1200,1300,1400,1500,1500,1500,1600,1500,1500,1500,1500,1400,1400,1300,1300,1200
Pakistan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,500,500,610,830,1100,1400,1700,2000,2400,2800,3200,3600,4900,5800,6200,6700
Panama,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Peru,590,850,1100,1500,1800,2100,2300,2600,2800,2900,3100,3200,3200,3200,3200,3100,3000,2800,2600,2500,2300,2200,2100,1900,1900,1800,1800,1800,1800,1700,1700,1700,1700
Philippines,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,590,700,830,1000
Papua New Guinea,100,100,100,200,200,500,500,500,560,730,920,1100,1400,1600,1900,2100,2400,2600,2800,2900,3100,3300,3400,3500,3600,3700,3800,3900,4000,4000,4200,4300,4400
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,500,500,500
Rwanda,11k,13k,16k,19k,15k,17k,24k,26k,28k,29k,30k,30k,31k,32k,32k,32k,32k,31k,30k,28k,27k,25k,23k,21k,20k,18k,16k,15k,13k,11k,9500,8100,7100
Sudan,620,750,880,1000,1200,1400,1500,1700,1900,2100,2300,2500,2600,2800,2900,3000,3200,3300,3400,3500,3600,3700,3700,3800,3800,3900,4000,4100,4100,4200,4400,4500,4600
Senegal,550,700,870,1100,1300,1700,2000,2400,2900,3400,3900,4400,4900,5300,5600,6000,6200,6300,6400,6400,6400,6400,6300,6100,5800,5500,5200,4900,4600,4400,4100,3900,3600
Sierra Leone,1600,1900,2300,2700,3200,3700,4300,4900,5400,5900,6700,7600,8400,9000,9500,9900,10k,10k,10k,10k,9900,9600,9200,8900,8700,8400,8200,7900,7600,7400,7300,6900,6700
El Salvador,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
South Sudan,2200,2900,3800,4700,5700,6900,8100,9300,10k,12k,13k,14k,15k,16k,17k,18k,19k,19k,20k,21k,21k,21k,21k,21k,21k,20k,20k,19k,17k,17k,16k,15k,15k
Sao Tome and Principe,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200,100,100
Suriname,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Eswatini,500,500,980,1700,2700,3700,4900,6000,7200,8500,9700,11k,12k,13k,14k,15k,16k,16k,16k,16k,15k,15k,14k,14k,13k,13k,12k,12k,11k,9800,8900,8100,7300
Chad,2800,3700,4700,5700,6800,8000,9100,10k,11k,12k,13k,14k,15k,15k,16k,16k,17k,17k,17k,17k,17k,16k,16k,16k,15k,15k,14k,14k,13k,13k,12k,12k,12k
